"","First_Name_Middle","Last_Name","Office_FilerType","Report_Type","Date_Received_Filed","Transaction_Date","Owner","Ticker","Asset_Name","Asset_Type","Transaction_Type","Amount","Comment"
"1","John A","Barrasso","Barrasso, John (Senator)","Periodic Transaction Report for 05/24/2018","05/24/2018",2018-05-01,"Self","--","Undeveloped Land-TOPOL
                                        
                                        
                                        
                                            
                                                
                                                    Company: Wyoming Orthopaedics Institute, LLC
                                                    
                                                         (Casper, WY)
                                                    
                                                
                                            

                                            
                                                Description: Real Estate Partnership","Other Securities","Sale (Full)","$50,001 - $100,000","--"
"2","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 07/12/2021","07/12/2021",2021-07-01,"Self","--","Oakcliff Capital Partners, LP
                                        
                                        
                                        
                                            
                                                
                                                    Company: Oakcliff Capital Partners, LP
                                                    
                                                         (New York, NY)
                                                    
                                                
                                            

                                            
                                                Description: Investment Fund","Other Securities","Purchase","$500,001 - $1,000,000","--"
"3","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 10/18/2022","10/18/2022",2022-10-04,"Self","--","More
                                        
                                        
                                        
                                            
                                                
                                                    Company: More
                                                    
                                                         (Ebene, Muritius (India))
                                                    
                                                
                                            

                                            
                                                Description: Grocery Chain","Other Securities","Purchase","$1,001 - $15,000","Underlying asset of Madeira Capital Investments Limited"
"4","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 04/10/2017","04/10/2017",2017-03-28,"Self","RGC","Regal Entertainment Group","Stock","Sale (Partial)","$500,001 - $1,000,000","--"
"5","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 02/07/2017","02/07/2017",2017-01-25,"Self","--","Continuum Real Estate Investors 2016, LLC
                                        
                                        
                                        
                                            
                                                
                                                    Company: Continuum Real Estate Investors 2016, LLC
                                                    
                                                         (Denver , CO)
                                                    
                                                
                                            

                                            
                                                Description: Private Equity","Other Securities","Purchase","$250,001 - $500,000","--"
"6","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 04/02/2019","04/02/2019",2019-03-01,"Self","--","More
                                        
                                        
                                        
                                            
                                                
                                                    Company: More
                                                    
                                                         (Ebene, Muritius (India))
                                                    
                                                
                                            

                                            
                                                Description: Grocery Chain","Other Securities","Purchase","$100,001 - $250,000","Underlying asset of Madeira Capital Investments Limited"
"7","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 05/04/2020","05/04/2020",2020-03-30,"Self","--","CP Kent Place Member LLC
                                        
                                        
                                        
                                            
                                                
                                                    Company: CP Kent Place Member LLC
                                                    
                                                         (Denver, CO)
                                                    
                                                
                                            

                                            
                                                Description: Holding Company","Other Securities","Purchase","$100,001 - $250,000","Underlying asset - Commercial Real Estate"
"8","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 09/02/2020","09/02/2020",2020-08-27,"Self","--","More
                                        
                                        
                                        
                                            
                                                
                                                    Company: More
                                                    
                                                         (Ebene, Muritius (India))
                                                    
                                                
                                            

                                            
                                                Description: Grocery Chain","Other Securities","Purchase","$1,001 - $15,000","Underlying asset of Madeira Capital Investments Limited"
"9","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 12/21/2017","12/21/2017",2017-12-08,"Self","RGC","Regal Entertainment Group","Stock","Sale (Full)","$500,001 - $1,000,000","--"
"10","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 12/21/2017","12/21/2017",2017-11-01,"Self","LVLT
                                        
                                        
                                            CTL","Level 3 Communications, Inc. (Exchanged)
                                            
                                            CenturyLink, Inc. (Received)","Stock","Exchange","$50,001 - $100,000","Shares of CTL received as a result of merger."
"11","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","NKE","Nike, Inc. (NYSE)","Stock","Sale (Full)","$1,001 - $15,000","--"
"12","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","IRM","Iron Mountain Inc. (NYSE)","Stock","Sale (Full)","$1,001 - $15,000","--"
"13","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","IBM","International Business Machines Corporation (NYSE)","Stock","Sale (Full)","$1,001 - $15,000","--"
"14","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","FB","Facebook, Inc. (NASDAQ)","Stock","Sale (Full)","$1,001 - $15,000","--"
"15","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","AMZN","Amazon.com Inc. (NASDAQ)","Stock","Sale (Full)","$1,001 - $15,000","--"
"16","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","AAPL","Apple Inc. (NASDAQ)","Stock","Sale (Full)","$1,001 - $15,000","--"
"17","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","DISH","Dish Network Corp. (NASDAQ)","Stock","Sale (Full)","$1,001 - $15,000","--"
"18","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","AMT","American Tower Corporation (NYSE)","Stock","Sale (Full)","$50,001 - $100,000","--"
"19","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","EBAY","eBay Inc. (NASDAQ)","Stock","Sale (Full)","$1,001 - $15,000","--"
"20","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","IRM","Iron Mountain Inc. (NYSE)","Stock","Sale (Full)","$1,001 - $15,000","--"
"21","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","NFLX","Netflix, Inc. (NASDAQ)","Stock","Sale (Full)","$15,001 - $50,000","--"
"22","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 05/09/2014","05/09/2014",2014-04-08,"Self","AMT","American Tower Corporation (NYSE)","Stock","Sale (Full)","$15,001 - $50,000","--"
"23","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 05/09/2014","05/09/2014",2014-04-08,"Self","NFLX","Netflix, Inc. (NASDAQ)","Stock","Sale (Full)","$15,001 - $50,000","--"
"24","Maria","Cantwell","Cantwell, Maria (Senator)","Periodic Transaction Report for 01/13/2023","01/13/2023",2022-12-28,"Self","RNWK","RealNetworks, Inc. - Common Stock","Stock","Sale (Full)","$15,001 - $50,000","--"
"25","Maria","Cantwell","Cantwell, Maria (Senator)","Periodic Transaction Report for 06/27/2014","06/27/2014",2014-06-06,"Self","RNWK","RealNetworks Inc. (NASDAQ)","Stock","Sale (Partial)","$1,001 - $15,000","--"
"26","Maria","Cantwell","Cantwell, Maria (Senator)","Periodic Transaction Report for 06/27/2014","06/27/2014",2014-06-06,"Self","RNWK","RealNetworks Inc. (NASDAQ)","Stock","Sale (Partial)","$1,001 - $15,000","--"
"27","Maria","Cantwell","Cantwell, Maria (Senator)","Periodic Transaction Report for 06/27/2014","06/27/2014",2014-06-06,"Self","RNWK","RealNetworks Inc. (NASDAQ)","Stock","Sale (Partial)","$1,001 - $15,000","--"
"28","Maria","Cantwell","Cantwell, Maria (Senator)","Periodic Transaction Report for 06/27/2014","06/27/2014",2014-06-06,"Self","RNWK","RealNetworks Inc. (NASDAQ)","Stock","Sale (Partial)","$1,001 - $15,000","--"
"29","Maria","Cantwell","Cantwell, Maria (Senator)","Periodic Transaction Report for 05/11/2016","05/11/2016",2016-04-28,"Self","RNWK","RealNetworks Inc.","Stock","Sale (Partial)","$1,001 - $15,000","Sale of two blocks"
"30","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 11/11/2019","11/11/2019",2019-10-15,"Spouse","MSFT","Microsoft Corporation","Stock","Sale (Partial)","$1,001 - $15,000","--"
"31","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2021","01/12/2021",2020-12-31,"Spouse","UNH","UnitedHealth Group Incorporated","Stock","Purchase","$1,001 - $15,000","--"
"32","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2021","01/12/2021",2020-12-31,"Spouse","PSX","Phillips 66","Stock","Purchase","$1,001 - $15,000","--"
"33","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2021","01/12/2021",2020-12-31,"Spouse","AMT","American Tower Corporation (REIT)","Stock","Purchase","$1,001 - $15,000","--"
"34","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2021","01/12/2021",2020-12-31,"Spouse","SYY","Sysco Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"35","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2021","01/12/2021",2020-12-31,"Spouse","PII","Polaris Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"36","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2021","01/12/2021",2020-12-31,"Spouse","OTIS","Otis Worldwide Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"37","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2021","01/12/2021",2020-12-31,"Spouse","XOM","Exxon Mobil Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"38","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2021","01/12/2021",2020-12-31,"Spouse","CLX","The Clorox Company","Stock","Sale (Partial)","$1,001 - $15,000","--"
"39","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2021","01/12/2021",2020-12-31,"Self","CARR","Carrier Global Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"40","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2021","01/12/2021",2020-12-15,"Spouse","WFC","Wells Fargo & Company","Stock","Sale (Full)","$15,001 - $50,000","--"
"41","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 08/25/2017","08/25/2017",2016-01-14,"Spouse","--","CB-Chubb Limited","Stock","Exchange","$1,001 - $15,000","ACE Limited acquired Chubb Corporation and immediately adopted The Chubb name"
"42","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 08/25/2017","08/25/2017",2016-01-14,"Spouse","AEX.MU","CHUBB LTD.  SF 24,15","Stock","Exchange","$1,001 - $15,000","ACE Limited acquired Chubb Corporation and immediately adopted The Chubb name"
"43","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 07/22/2016","07/22/2016",2016-06-24,"Spouse","BRK-B","Berkshire Hathaway Inc.","Stock","Purchase","$1,001 - $15,000","--"
"44","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 07/22/2016","07/22/2016",2016-06-13,"Spouse","F","Ford Motor Co.","Stock","Purchase","$1,001 - $15,000","--"
"45","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 12/17/2016","12/17/2016",2016-11-14,"Spouse","JWN","Nordstrom, Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"46","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/07/2018","04/07/2018",2018-03-28,"Spouse","FANUY","Fanuc Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"47","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/07/2018","04/07/2018",2018-03-28,"Spouse","WFC","Wells Fargo & Company","Stock","Sale (Partial)","$15,001 - $50,000","--"
"48","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 11/13/2015","11/13/2015",2015-11-02,"Spouse","--","BLACKROCK, INC.","Stock","Purchase","$1,001 - $15,000","--"
"49","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/04/2016","04/04/2016",2016-03-22,"Spouse","AAPL","Apple Inc.","Stock","Purchase","$1,001 - $15,000","--"
"50","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 11/30/2015","11/30/2015",2015-11-23,"Spouse","--","AMGEN INC (AMGN)","Stock","Purchase","$1,001 - $15,000","--"
"51","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/29/2020","04/29/2020",2020-03-03,"Spouse","JPM","JPMorgan Chase & Co.","Stock","Purchase","$1,001 - $15,000","--"
"52","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/29/2020","04/29/2020",2020-03-03,"Spouse","MSFT","Microsoft Corporation","Stock","Purchase","$1,001 - $15,000","--"
"53","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/29/2020","04/29/2020",2020-03-03,"Spouse","JNJ","Johnson & Johnson","Stock","Purchase","$1,001 - $15,000","--"
"54","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/29/2020","04/29/2020",2020-03-03,"Spouse","ABT","Abbott Laboratories","Stock","Purchase","$1,001 - $15,000","--"
"55","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 11/08/2018","11/08/2018",2018-10-31,"Spouse","PX
                                        
                                        
                                            LIN","Praxair, Inc. (Exchanged)
                                            
                                            Linde plc (Received)","Stock","Exchange","$1,001 - $15,000","--"
"56","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 11/08/2018","11/08/2018",2018-10-17,"Spouse","JNJ","Johnson & Johnson","Stock","Purchase","$1,001 - $15,000","--"
"57","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 11/08/2018","11/08/2018",2018-10-16,"Spouse","JPM","JPMorgan Chase & Co.","Stock","Purchase","$1,001 - $15,000","--"
"58","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 08/10/2022","08/10/2022",2022-07-11,"Spouse","GWW","W.W. Grainger, Inc. Common Stock","Stock","Purchase","$1,001 - $15,000","--"
"59","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 08/10/2022","08/10/2022",2022-07-01,"Spouse","COST","Costco Wholesale Corporation - Common Stock","Stock","Purchase","$1,001 - $15,000","--"
"60","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 12/12/2015","12/12/2015",2015-11-18,"Spouse","--","SIGMA ALDRICH CORP","Stock","Sale (Full)","$1,001 - $15,000","FMGR FR SIGMA ALDRICH CO"
"61","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2020","01/12/2020",2019-12-16,"Spouse","CMCSA","Comcast Corporation","Stock","Purchase","$1,001 - $15,000","--"
"62","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/12/2020","01/12/2020",2019-12-11,"Spouse","C","Citigroup Inc.","Stock","Sale (Partial)","$1,001 - $15,000","--"
"63","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","V","Visa Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"64","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","TSM","Taiwan Semiconductor Manufacturing Company Limited","Stock","Sale (Full)","$1,001 - $15,000","--"
"65","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","SFTBY","SoftBank Group Corp.","Stock","Sale (Full)","$1,001 - $15,000","--"
"66","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","SRE","Sempra Energy","Stock","Sale (Full)","$1,001 - $15,000","--"
"67","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","RDS-B","Royal Dutch Shell plc","Stock","Sale (Full)","$1,001 - $15,000","--"
"68","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","SLB","Schlumberger Limited","Stock","Sale (Full)","$1,001 - $15,000","--"
"69","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","RBGLY","Reckitt Benckiser Group plc","Stock","Sale (Full)","$1,001 - $15,000","--"
"70","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","PM","Philip Morris International Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"71","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","PDRDY","Pernod Ricard SA","Stock","Sale (Full)","$1,001 - $15,000","--"
"72","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","AVGO","Broadcom Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"73","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","LRLCY","L'Oréal S.A.","Stock","Sale (Full)","$1,001 - $15,000","--"
"74","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","NVO","Novo Nordisk A/S","Stock","Sale (Full)","$1,001 - $15,000","--"
"75","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","MRAAY","Murata Manufacturing Co., Ltd.","Stock","Sale (Full)","$1,001 - $15,000","--"
"76","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","NSRGY","Nestlé S.A.","Stock","Sale (Full)","$1,001 - $15,000","--"
"77","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","NPSNY","Naspers Limited","Stock","Sale (Full)","$1,001 - $15,000","--"
"78","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","JPM","JPMorgan Chase & Co.","Stock","Sale (Full)","$1,001 - $15,000","--"
"79","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","MCO","Moody's Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"80","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","MDLZ","Mondelez International, Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"81","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","MSFT","Microsoft Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"82","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","LVS","Las Vegas Sands Corp.","Stock","Sale (Full)","$1,001 - $15,000","--"
"83","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","KYCCF","Keyence Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"84","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","ICE","Intercontinental Exchange, Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"85","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","INTC","Intel Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"86","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","SAFRY","Safran SA","Stock","Sale (Full)","$1,001 - $15,000","--"
"87","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","HLT","Hilton Worldwide Holdings Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"88","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","GDDY","GoDaddy Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"89","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","GILD","Gilead Sciences, Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"90","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","ESLOY","EssilorLuxottica Société anonyme","Stock","Sale (Full)","$1,001 - $15,000","--"
"91","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","ENB","Enbridge Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"92","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","DEO","Diageo plc","Stock","Sale (Full)","$1,001 - $15,000","--"
"93","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","DE","Deere & Company","Stock","Sale (Full)","$1,001 - $15,000","--"
"94","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","DHR","Danaher Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"95","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","CCI","Crown Castle International Corp. (REIT)","Stock","Sale (Full)","$1,001 - $15,000","--"
"96","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","CVX","Chevron Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"97","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","CABGY","Carlsberg A/S","Stock","Sale (Full)","$1,001 - $15,000","--"
"98","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","CSX","CSX Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"99","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","CME","CME Group Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"100","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","BK","The Bank of New York Mellon Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"101","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","ASML","ASML Holding N.V.","Stock","Sale (Full)","$1,001 - $15,000","--"
"102","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","AZN","AstraZeneca PLC","Stock","Sale (Full)","$1,001 - $15,000","--"
"103","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","AHKSY","Asahi Kasei Corporation","Stock","Sale (Full)","$1,001 - $15,000","--"
"104","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","AAPL","Apple Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"105","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","AMT","American Tower Corporation (REIT)","Stock","Sale (Full)","$1,001 - $15,000","--"
"106","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","AMZN","Amazon.com, Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"107","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","GOOG","Alphabet Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"108","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","EADSY","Airbus SE","Stock","Sale (Full)","$1,001 - $15,000","--"
"109","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","ATVI","Activision Blizzard, Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"110","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-11,"Spouse","AAGIY","AIA Group Limited","Stock","Sale (Full)","$1,001 - $15,000","--"
"111","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 04/17/2019","04/17/2019",2019-03-04,"Self","KO","The Coca-Cola Company","Stock","Purchase","$1,001 - $15,000","--"
"112","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 07/24/2017","07/24/2017",2017-06-27,"Spouse","--","PG-The Procter & Gamble Company","Stock","Sale (Partial)","$1,001 - $15,000","--"
"113","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 07/24/2017","07/24/2017",2017-06-27,"Spouse","WFC","Wells Fargo & Company","Stock","Sale (Full)","$1,001 - $15,000","--"
"114","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 07/24/2017","07/24/2017",2017-06-27,"Spouse","C","Citigroup Inc.","Stock","Sale (Full)","$1,001 - $15,000","--"
"115","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/15/2022","01/15/2022",2021-12-17,"Spouse","MSFT","Microsoft Corporation - Common Stock","Stock","Sale (Partial)","$1,001 - $15,000","--"
"116","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/15/2022","01/15/2022",2021-12-17,"Spouse","C","Citigroup, Inc. Common Stock","Stock","Sale (Partial)","$1,001 - $15,000","--"
"117","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/15/2022","01/15/2022",2021-12-28,"Self","SMFG","Sumitomo Mitsui Financial Group Inc Unsponsored Am","Stock","Sale (Partial)","$1,001 - $15,000","--"
"118","Shelley M","Capito","Capito, Shelley Moore (Senator)","Periodic Transaction Report for 01/15/2022","01/15/2022",2021-12-15,"Spouse","--","UnitedHealth Group Incorporated Common Stock (DE)","Stock","Purchase","$1,001 - $15,000","--"
